Channel,Iteration 1,Iteration 2,Iteration 3,Iteration 4,Iteration 5,Iteration 6,Iteration 7,Iteration 8,Iteration 9,Iteration 10
1,0.14056823330714466,0.14221194161114611,0.14014479381456896,0.14133550251383073,0.14228074214227698,0.14260009192672063,0.1404752772780294,0.14433532494840068,0.1454442183477907,0.14276704433621185
2,0.13630830335573035,0.136268462096792,0.1362283016813206,0.1402715746562687,0.1364516892360768,0.1384217337859292,0.1377882117820664,0.13850199564818977,0.13719852975979963,0.14185714396972277
3,0.1267745010313439,0.1288652617217006,0.1310851210799228,0.13240052852485978,0.13010048270708047,0.13029259288723952,0.12844895068815204,0.13072672258173,0.13005850095839966,0.1346838454492062
4,0.12565245682195683,0.12208733700784075,0.12466980847533345,0.12309312768361892,0.12432493750871632,0.118477602196565,0.12202027258943506,0.12299393914255993,0.12627339250464195,0.1257768822406906
5,0.1122669172110299,0.10933147495218719,0.10805054132753575,0.10297855722135792,0.107307161547045,0.11074038904972248,0.11135385221905517,0.10851794364741228,0.11110699670845506,0.10943491682914666
6,0.09590381100663654,0.0919307753080238,0.08492239788856755,0.0837692705339853,0.09176821639116904,0.08813792935191117,0.08427285159232076,0.08347267132245623,0.08799676470224682,0.08458721914070691
7,0.056284436695222276,0.05516488578299286,0.05952429119345416,0.06095147666401238,0.06118784501734457,0.060645062814754,0.05330303565686927,0.06469550390071353,0.05774423412916966,0.059264631738968884
8,0.017564848359183653,0.01777787462510593,0.018099133464045368,0.01745233710808442,0.017745836801662883,0.015289781756216609,0.015545068756800567,0.018387764407947413,0.017480027437495278,0.01574010948060976
