Channel,Iteration 1,Iteration 2,Iteration 3,Iteration 4,Iteration 5,Iteration 6,Iteration 7,Iteration 8,Iteration 9,Iteration 10,Iteration 11,Iteration 12,Iteration 13,Iteration 14,Iteration 15,Iteration 16,Iteration 17,Iteration 18,Iteration 19,Iteration 20
1,-0.019062176036920453,-0.01899181950902828,-0.018755044433958826,-0.018731814508829676,-0.01964692708875678,-0.02127927750698497,-0.017511407062515368,-0.019449124620695937,-0.018346998179243696,-0.01924376633071665,-0.01877701751631596,-0.021340793729043933,-0.019073137762192646,-0.018231890085364792,-0.015932875184203794,-0.018288161627856785,-0.017737255646089665,-0.016564245828011834,-0.019807183413124534,-0.019238814527066817
2,-0.015461206133452216,-0.016788511260518724,-0.018493710686389636,-0.017453716758739485,-0.014424075800106488,-0.016127390238803493,-0.017415006067303496,-0.017082993972695706,-0.015902892057117455,-0.017484530334693694,-0.018384660326710763,-0.02033671526867597,-0.01718417851536476,-0.017354583595765912,-0.01840508166263288,-0.016879243739677113,-0.018483639285693666,-0.015827930027247288,-0.018432548581518972,-0.016366726360874728
3,-0.012955888580983723,-0.016104666205581677,-0.015728173353769706,-0.013836287054801475,-0.01565033431880448,-0.015195752871898394,-0.015995829116228554,-0.015980518202927736,-0.014614945927819365,-0.017527424739720666,-0.015319789710166908,-0.017606494313672578,-0.01594926558248285,-0.01745161142554092,-0.01499806557687176,-0.017013776432213273,-0.016186908816240582,-0.01720335526828783,-0.017234847519166485,-0.017105577605443033
4,-0.011393916684626857,-0.011984264165882488,-0.012909596601431046,-0.011855851703280709,-0.010653267657898929,-0.014951521269001525,-0.01290918950020892,-0.012379315191580002,-0.012505393199908746,-0.01171134667631393,-0.012144411631081578,-0.014437339784304679,-0.012827885392341499,-0.013770413868006516,-0.011998223737913273,-0.011620431055696365,-0.010589208950169342,-0.012132015720892033,-0.010745657388398683,-0.010460198646118662
5,-0.007603166194092605,-0.00726484058793617,-0.004180308160858168,-0.0044897070732173375,-0.005930613756266329,-0.005463171064994304,-0.0043097831419224575,-0.006883677051184797,-0.00558649568672899,-0.006624497152838117,-0.00805571336038775,-0.002040696239800986,-0.004411329089922825,-0.007672331899289814,-0.005574291164830207,-0.0073140616842501255,-0.004913474690550881,-0.0051322969730742615,-0.004255054228374619,-0.004048264650853922
6,0.0030972771004723135,-0.001599901208894118,0.001678276806644001,0.0011442188350091129,-0.0005700611959597035,0.001976312508117417,0.004832945009918384,0.0019120798339732972,2.454116821065666e-05,-0.0006140798723055577,-0.0005296395324194333,0.0002007503675675315,0.0015462992964785718,0.002431856223245002,0.002083706149480967,0.002822349599573129,-0.0007138513846327299,0.0030104057666591605,0.000209305677355269,0.0013243121461416901
7,-0.0005588742484854414,0.0010812862886784014,0.004264329241497333,-0.0008377388307870132,0.0006631468028010512,0.0025453838911826954,0.0009404486578054039,0.0026155993248106746,0.00183388081093519,0.0030045569823839297,-0.0015309898881276512,0.0016937742331816635,0.0021129900001663204,0.003171382123687172,0.0016368897342311367,-0.00037299101297412485,0.0010854115189857516,0.0008210334664826291,0.0027137494403736695,0.0009687693764796335
8,-0.022859543377205447,-0.02317138912731436,-0.023456330823324146,-0.025290544790639767,-0.0250909922404823,-0.024275289861378974,-0.023928700040584148,-0.024525272666330002,-0.023823816925221616,-0.024777473038926245,-0.0240097915717249,-0.024239192525379344,-0.021989568932327848,-0.023060340117824228,-0.025193179619139902,-0.02350254583792111,-0.024169403693135066,-0.023435368216384683,-0.023502504386518155,-0.02264648524231756
