Channel,Iteration 1,Iteration 2,Iteration 3,Iteration 4,Iteration 5,Iteration 6,Iteration 7,Iteration 8,Iteration 9,Iteration 10,Iteration 11,Iteration 12,Iteration 13,Iteration 14,Iteration 15,Iteration 16,Iteration 17,Iteration 18,Iteration 19,Iteration 20
1,-0.021413722458465526,-0.019626729893196436,-0.022485166024373834,-0.021154425065081906,-0.021638365514966888,-0.021322100384468138,-0.02023504718449643,-0.018751471656098282,-0.020190106839847538,-0.020803784403134438,-0.01880550571302549,-0.020953768984867754,-0.020076835204222588,-0.020788572637783043,-0.021194485564969272,-0.021724199570102846,-0.01968143151977939,-0.019692244822464556,-0.02064926742803719,-0.02053696698352648
2,-0.016971588314593916,-0.014400879742158385,-0.016094281765639196,-0.016848379518356778,-0.014156450118757416,-0.017230553640526367,-0.015187353483205926,-0.016452561223460848,-0.017171727540348947,-0.017230104117334707,-0.01592624136881527,-0.017738680853037127,-0.016433915557027015,-0.015545541937475956,-0.01300760023293302,-0.018992810520841265,-0.01665336463534854,-0.015401484522186558,-0.016755583212005626,-0.016152153352851816
3,-0.015405224178163961,-0.014398668060356615,-0.01524286596624596,-0.014924487675099891,-0.015105645092040591,-0.012755982129888297,-0.013031732900042432,-0.017323141188227573,-0.014204763834435086,-0.016574782076205354,-0.015353154412005509,-0.0138908098171773,-0.013861794126239294,-0.012776559378798128,-0.016110121167784684,-0.015042826316891036,-0.013799363470430892,-0.013307826614303981,-0.013969559749523068,-0.013142624421390435
4,-0.006488413434624831,-0.007213990966174387,-0.0049127584524086935,-0.008545359163694316,-0.009487309469352405,-0.009657178852851209,-0.005931308058796821,-0.00938062393536943,-0.010963260560570884,-0.008097907695359523,-0.006053946714634719,-0.008360562529833514,-0.008894513195137524,-0.00648940481187869,-0.010704190938428695,-0.010295099153287104,-0.006308233576988662,-0.009135416943928238,-0.007304426080413507,-0.005965872466000825
5,-0.006062883700312119,-0.005179589867654946,-0.0016609427100118604,-0.00441481471002849,-0.0036805155943505363,-0.0030581050658595177,-0.005254542441754405,-0.0034576091788273075,-0.002838599454810603,-0.0031936999134471664,-0.004122538819425557,-0.0024865502700470096,-0.004898643447432398,-0.006082905830035422,-0.0056299668696384655,-0.005947586614898054,-0.006289765979126533,-0.004523861771372421,-0.005002224851280067,-0.00469938517492461
6,-0.0012528134107032893,0.0013541781458111385,0.001821448671934539,0.0024852579322745885,0.002538168406810773,2.3682606736928624e-05,0.003897405917810272,0.0015799898755683786,0.0002927347308947087,-0.0008545100440971454,0.0014363090085400057,0.0008470679521785235,0.0019366914864989426,0.0009055933567996208,0.002108298893909441,0.0007082893666294013,-0.00019582805061500036,0.0019468589539180098,0.0010594214996631282,0.00173597322867617
7,0.0018285466099830505,0.003963196198555216,0.002099409754650894,0.00034832240261697955,0.003098155624097071,0.001941799164275837,0.0014686567033046771,0.0019450834313274462,0.00207225936680365,0.0025620381132873266,0.0019365230778233267,0.0024118445474246297,0.004347855219628938,0.0016123701233420606,0.002469476857548697,0.004114047997000464,0.003286947908791041,0.004537941033882192,0.0035530331911833857,0.005797651354877642
8,-0.02386759189804234,-0.02525241687261528,-0.02563976607711738,-0.023582568766659023,-0.025344970986970902,-0.025186159314079845,-0.024584869489286162,-0.02546754953071883,-0.023825785271972356,-0.024884380480814573,-0.026640280184679344,-0.025046871046332717,-0.024153280151494226,-0.024515584343207858,-0.025161559919981303,-0.025549071530300803,-0.0249878304011745,-0.024875765643947372,-0.0258182162890431,-0.025189561342219186
