Channel,Iteration 1,Iteration 2,Iteration 3,Iteration 4,Iteration 5,Iteration 6,Iteration 7,Iteration 8,Iteration 9,Iteration 10
1,-0.018745495882963804,-0.020334279937931726,-0.021457301426459536,-0.0191800334747799,-0.018379009213742834,-0.01867583118627399,-0.02036357869542646,-0.020474288615588428,-0.019405864201030406,-0.01727456376527753
2,-0.015258747032832178,-0.017522038853934087,-0.016739070366480768,-0.015720401024718597,-0.01861862090189101,-0.017658523957947703,-0.017777469985380198,-0.01527836635169088,-0.01472791542719391,-0.01528196475523953
3,-0.012924529591037352,-0.012767196862100294,-0.012424149864081071,-0.012412213873426697,-0.01308507001957799,-0.012828489329406893,-0.012403514228421845,-0.01130727922582415,-0.01229821343264767,-0.013364872559860184
4,-0.00878383570709682,-0.0050469750154900905,-0.010199594867560616,-0.009057029455086296,-0.011100361383319744,-0.009470712150135105,-0.011939861283844756,-0.009537298791823613,-0.010355494764754414,-0.00903655683869956
5,-0.0021112873392581215,-0.0016649884056997924,-0.00396192929004292,-0.00413882282933269,-0.0043803635701340805,-0.005346341959421255,-0.0034953243993438715,-0.004171251258964122,-0.0032139884951059676,-0.003670180482136083
6,0.002269800832276056,0.003457552717571727,0.0015677050273291623,0.00340630851103986,0.0017756275536519595,0.0036454338083392185,0.003549213610974211,0.003334904388350282,-0.00020982587075735193,0.006961456323978973
7,-0.0008198515325380795,3.417463169369528e-06,0.0026538509357680318,0.0016276222596148804,-0.00012362658925416103,-0.0005148787824168846,0.0005285027374904369,3.562659485543962e-05,-0.0008873641166650542,0.0012088135854417398
8,-0.025596925141575723,-0.023267426409070563,-0.02409567802746154,-0.02245514464172968,-0.022156748914162305,-0.022369393072607158,-0.02311903839682933,-0.023844709559771148,-0.022677436794101603,-0.023229877698621688
