Channel,Iteration 1,Iteration 2,Iteration 3,Iteration 4,Iteration 5,Iteration 6,Iteration 7,Iteration 8,Iteration 9,Iteration 10,Iteration 11,Iteration 12,Iteration 13,Iteration 14,Iteration 15,Iteration 16,Iteration 17,Iteration 18,Iteration 19,Iteration 20
1,0.8143186812703348,0.8344253831120998,0.8164482239764448,0.8330419536973146,0.8338633819265298,0.834320233453482,0.7940654231222953,0.8198956022080915,0.8422362754322854,0.8323039386701954,0.8197161264435033,0.8172001839976911,0.8318501733327179,0.828796279510403,0.8021595329141165,0.8359948258450978,0.8548179020371931,0.8062576548569307,0.8354021182298352,0.8456828867572463
2,0.6417520829270239,0.6281625683202007,0.6666356012050628,0.6585664180997449,0.6443804157612526,0.6535217479910196,0.6490711257020492,0.6383863241666978,0.642868064894287,0.6094031874177325,0.6549535629533132,0.6734227673126332,0.6390933795220152,0.6372051993316548,0.6470407129430927,0.6515167869119506,0.6552456441006194,0.6390198242229497,0.65638903109733,0.6508881912204229
3,0.5307936708960755,0.5262982849595204,0.5350225382764036,0.5090187980811749,0.5395242945816472,0.525613420762369,0.5343103048567768,0.5220815662584354,0.5091877132083511,0.532872973692686,0.5155847151007888,0.5218887363136986,0.5162305459323692,0.5409517530457673,0.5328445701505278,0.5099556751079527,0.5036116608442486,0.5283274070825055,0.5282963211862136,0.5366638354901269
4,0.36394297443640844,0.3603861245195652,0.3579648488902896,0.3469059257452467,0.3773933720524939,0.36992781234726074,0.3539819706294427,0.36030663140287983,0.35351554579820493,0.36592253032287436,0.36237473507923434,0.38582712181360734,0.37223263729713296,0.38987728607591243,0.36716842202320477,0.3847321079099403,0.36825590645373646,0.3710713298195059,0.35424221804458306,0.3749589017324218
5,0.22375554113895996,0.24268272894814472,0.23225246355398824,0.22345941319505713,0.2362463302139992,0.2276713198805916,0.2236788288277097,0.23658898670879547,0.2170941663025844,0.2341370168321694,0.222361216480374,0.22501964259750434,0.23984034902310158,0.2346109201761899,0.22806680225145598,0.22757589357962651,0.23577829399742722,0.22491324933573442,0.23890283139229215,0.2211447537967885
6,0.12502286714622446,0.12669290612685574,0.1270116525027621,0.12041349801067702,0.1281420567077891,0.11327648957187222,0.12458572950720254,0.1266473471852251,0.12061347528595906,0.11234300867888536,0.12206064545201548,0.1155841185022771,0.11457727294362477,0.12804694757627577,0.11942650667444665,0.11891882054996766,0.11796305448542285,0.12439725735019774,0.11857229260670255,0.1271170923837966
7,0.037279565984040364,0.042713246238822694,0.04077773677714963,0.04684523809345981,0.039739858464716865,0.04238630443706087,0.03176784668173184,0.04479368711721546,0.0404812035503303,0.039162701351920376,0.04173380553908207,0.03708858815180266,0.03662554837450599,0.040579863403188074,0.04096914767411697,0.04405277177926725,0.03923203401696518,0.038387784261786184,0.0487890434771146,0.045385670158577335
8,-0.02469260266145635,-0.02420412180071308,-0.022261659338768485,-0.022793526229754352,-0.024865335644523284,-0.02358777114602125,-0.025015313815980152,-0.024129660226112088,-0.024638045823053036,-0.021513806407729458,-0.023653507401283216,-0.02499635723374259,-0.024535277712974677,-0.025749492231917546,-0.024800279805422144,-0.025837497905652283,-0.025394316551137427,-0.023482369812500167,-0.023031872669508142,-0.02575689868797425
