Channel,Iteration 1,Iteration 2,Iteration 3,Iteration 4,Iteration 5,Iteration 6,Iteration 7,Iteration 8,Iteration 9,Iteration 10,Iteration 11,Iteration 12,Iteration 13,Iteration 14,Iteration 15,Iteration 16,Iteration 17,Iteration 18,Iteration 19,Iteration 20
1,0.8362754369204264,0.8048521080389031,0.7962118215212426,0.8090944194407566,0.7966059050771057,0.8069019544003966,0.8175894936422109,0.8141049580835946,0.8229951698261815,0.8062266023952017,0.7991140294590962,0.8084088103091158,0.7791973552939664,0.8086802029563099,0.8103563578821955,0.8190799035324943,0.799507305801967,0.8208136385133753,0.8016620311807265,0.7769143447902803
2,0.6534171332617674,0.6480216279679243,0.6547207379363926,0.647492132867618,0.6583501545415198,0.6505461323561074,0.637901952669244,0.6363027654985897,0.6555472553154842,0.6490277501123075,0.6557987477967104,0.6636575812446989,0.6448711740500497,0.6606149634316882,0.648341608431937,0.6729017528576229,0.6372813738897881,0.6596813774981093,0.6405235276040355,0.6587176630897145
3,0.5014881670395375,0.5230340637519063,0.5055140613175388,0.5015468283674418,0.48899211653103003,0.48327256536270435,0.4938344166229298,0.5189098641999104,0.5067280578332456,0.5052327066242736,0.4921723439113891,0.49201340808579247,0.4876387245478918,0.512185067971518,0.48003440339138703,0.4940186613758632,0.4833218649973071,0.5054845891688046,0.4867407586315623,0.4911347578599813
4,0.34592889374008373,0.33699269179062485,0.3445693466904987,0.3513163807393218,0.3393789860610736,0.34323790299884804,0.3292882582165245,0.32903475555094375,0.3443427622901155,0.3631103252249044,0.35032422804258806,0.3391981265244415,0.3341006606803546,0.3595564846011676,0.35079422277933225,0.3480302169167224,0.35472701450491395,0.3510360533364724,0.356763462596533,0.3382968266101094
5,0.23383887765948097,0.24241844556180436,0.24288540762662267,0.23215320657207691,0.2266295972913761,0.24238904007843265,0.23767385880910719,0.23433433946576332,0.24177392646207163,0.23936207760513492,0.23917599085621943,0.2384632721411517,0.23653015868376143,0.24395931606380994,0.23526318632886203,0.23630334469877898,0.23068386367028373,0.23897706032264382,0.24051635595058446,0.24169473378132234
6,0.12000319400910284,0.11877038734415807,0.10853198172806383,0.11683748676878239,0.11719849453526568,0.1123437922887254,0.11864882131529134,0.11294076122473404,0.11108420712195632,0.11684274884856624,0.12216527237188013,0.11002463813649646,0.11845473793252304,0.11457804455260379,0.11557748485898806,0.10953838815012534,0.11196308496837634,0.10858717118085423,0.11990209162581394,0.1203025374054964
7,0.033758768363340796,0.039470168217261764,0.037275047376701065,0.0373899818012251,0.03396375022712406,0.04119059574805137,0.0422960617866977,0.03912332921039184,0.04074882164830254,0.038760008959491526,0.0356881475902973,0.03899094326743992,0.03667377122266799,0.03553347895184772,0.041137302641431645,0.03673680770343815,0.03907856206816082,0.03539962587379081,0.03940991963589076,0.03709933100726928
8,-0.02041376716717152,-0.020618691320750743,-0.02007190897587362,-0.01968591125223468,-0.021229289661528376,-0.0190335096114412,-0.020060714355417387,-0.019813864005378344,-0.020791707897020607,-0.0206548928118323,-0.020694231978682295,-0.02021390605453541,-0.02034213047466404,-0.021425978403356482,-0.021552707454560695,-0.02091044817372993,-0.020585592968855478,-0.020438360841666024,-0.02051458083693863,-0.02102767959052185
