Channel,Iteration 1,Iteration 2,Iteration 3,Iteration 4,Iteration 5,Iteration 6,Iteration 7,Iteration 8,Iteration 9,Iteration 10
1,-0.020983469963572268,-0.019588676579265926,-0.02019480432841832,-0.019954091336106736,-0.01857754667845384,-0.01920796691883835,-0.020949330104156498,-0.020071911970294322,-0.021094780858747622,-0.022171952810926987
2,-0.016252010625183427,-0.014987746422934557,-0.018375194942632653,-0.018239583608897058,-0.013993788601619057,-0.017740925035147886,-0.01594394970629475,-0.017209398031956463,-0.017531483331332923,-0.01798581653266364
3,-0.014716318519301125,-0.01323596509625268,-0.016082498385580686,-0.012169474920324575,-0.009573325450047595,-0.013228957487401499,-0.016034411912014983,-0.012180872399290554,-0.012265795151985507,-0.013665461042036179
4,-0.010898354974023066,-0.011200459682917089,-0.007830243658790263,-0.009961462551546927,-0.007643985978582667,-0.007720230544383776,-0.006210444945112737,-0.008093931943204702,-0.009348028074070652,-0.00784671186724287
5,-0.00447186114862274,-0.004030247811488745,-0.0038460265291250517,-0.005317750812995462,-0.006401386607812323,-0.006587291864613071,-0.0029128147427505344,-0.005813652216846706,-0.005462622273251526,-0.006096452234965705
6,0.002855444570128582,0.005512979204249424,0.008274328999920533,0.004785443599081077,0.00559008250768931,0.007228753647690933,0.007073019536019756,0.004225256239701505,0.0031018111711949084,0.006820037250630767
7,-0.0024674372672155165,0.0027204742040997515,-0.0011377143019058178,0.0025793622075218486,0.0010292844919315841,0.002236099914638995,0.0023260112830893465,0.0006768119806547512,0.00020975181627837236,0.0004825754976428287
8,-0.022807820068899788,-0.024701759301792026,-0.0223682528009388,-0.024301037888794973,-0.024938975387753803,-0.023431986373549978,-0.025111717260466286,-0.024497969171839967,-0.02270280018929011,-0.023966436043425132
