Channel,Iteration 1,Iteration 2,Iteration 3,Iteration 4,Iteration 5,Iteration 6,Iteration 7,Iteration 8,Iteration 9,Iteration 10,Iteration 11,Iteration 12,Iteration 13,Iteration 14,Iteration 15,Iteration 16,Iteration 17,Iteration 18,Iteration 19,Iteration 20
1,-0.02276704122781588,-0.023775615961261962,-0.022084200208720647,-0.021953050532347623,-0.023391857282294842,-0.022115237284593393,-0.023449821155198617,-0.022455920404719634,-0.02065049843820143,-0.024106503831186173,-0.023989361148299554,-0.024432413163866115,-0.02125696531811194,-0.0197233453663014,-0.02113785722492361,-0.022207569534354286,-0.02196939301460216,-0.022789122031692054,-0.025051444222368345,-0.021444732570600738
2,-0.01662724024257213,-0.015511626542219058,-0.01921795375335114,-0.017322705268383757,-0.01776878088358814,-0.017990816638123394,-0.01722771820925905,-0.015737815523801376,-0.015150667936284803,-0.01593109486850419,-0.015588740168279222,-0.017139354403563515,-0.01428630516089315,-0.017137473356973968,-0.01610287693800341,-0.01826527956208849,-0.015205057231303842,-0.01659742521409213,-0.016947467371360953,-0.014195055126673661
3,-0.018889994120457276,-0.01998339546698349,-0.020233466357384513,-0.018923414188934132,-0.01871506604098149,-0.017898412799189193,-0.019869049220992606,-0.02098661245375773,-0.018604658823273768,-0.018661706369302082,-0.01837523849904185,-0.016426962480866107,-0.01963366879679117,-0.017821078142810674,-0.020806991611100542,-0.02053207586653239,-0.017983616121452647,-0.02025207633063191,-0.020428817317354526,-0.019333412461429424
4,-0.008650084867671675,-0.007847806593248876,-0.0077757537555423195,-0.008879837734983588,-0.008161297582456827,-0.008938146274169428,-0.010117946136778223,-0.0074246897312708615,-0.009362895270285025,-0.007113761735714902,-0.004982431559882535,-0.008955028185953822,-0.008061437199349809,-0.009703897873965998,-0.00879986858020612,-0.00810120271554714,-0.008860321978978401,-0.009192427622965368,-0.007891465405756394,-0.0072597308005250966
5,-0.004590693034356257,-0.006104167272815715,-0.004640088578683942,-0.006452731560944076,-0.0035509437964950687,-0.005032392058010562,-0.003697405251615691,-0.005722255308081493,-0.004294707227952027,-0.0038471936532637196,-0.004531952749315785,-0.004552029478838315,-0.002864999680908007,-0.008653178490601127,-0.0029500136545676896,-0.003679767139980191,-0.006103637136274733,-0.006074171489208611,-0.004885646468721645,-0.006326082246155801
6,0.005587611227471305,0.005406249449177725,0.002923344501310876,0.008131806109000161,0.004579829195265492,0.004997198217852161,0.005015678781678745,0.0038184856925046196,0.0031005917487093304,0.0020701568792791253,0.004333875355702552,0.004008626728309421,0.005207182806938979,0.00418778799958907,0.003597232120659412,0.0032280923637688502,0.006661130629186739,0.0040570066523972145,0.004325861423946663,0.0031637737131541208
7,0.0009379481048052418,0.0017913280256713349,0.0025390539772918858,0.0001079412828653703,0.0019503176179918452,0.003712321064358551,0.0014813308374338335,0.0010875064370265836,0.003194635178865257,0.001915425455746772,0.004764851226761846,0.003955648297350983,0.00284250791016534,0.0042917616129253405,0.0029806958154067476,0.0020895890572168174,0.0022825801879496344,0.0021920676962648433,0.0013581955203818968,0.003035319304205017
8,-0.02602545439425507,-0.025188308999804673,-0.025399730719649627,-0.02509867302226982,-0.026097804728828035,-0.025740054912181495,-0.02600487034052774,-0.02495091466374652,-0.025504852577317272,-0.026918380431590665,-0.025165848382467933,-0.027396556913225747,-0.025734229281708904,-0.02544777316091762,-0.027128086068797228,-0.025703490509902494,-0.025191628546369218,-0.02567043688862657,-0.023872464542370398,-0.02399686552387765
