Channel,Iteration 1,Iteration 2,Iteration 3,Iteration 4,Iteration 5,Iteration 6,Iteration 7,Iteration 8,Iteration 9,Iteration 10
1,-0.02193178994206867,-0.019903455091500575,-0.018201980882546202,-0.0210487898715703,-0.020484614187257208,-0.019379669592941712,-0.016814937653392936,-0.02053324444841018,-0.02005660524347691,-0.02052576215905407
2,-0.015416349825127297,-0.016510864779691,-0.01622840308542483,-0.017348933356755344,-0.014970772587492359,-0.017618118082579584,-0.015997905777526706,-0.01605385102832977,-0.015897533659466882,-0.016857083493178385
3,-0.014236286232523414,-0.013442414660552536,-0.013266912739371512,-0.01313607855711587,-0.012408912906270188,-0.014160970361075102,-0.012960280724183454,-0.013466956338370506,-0.014536118423739301,-0.011671255177758248
4,-0.01238871684942629,-0.013593679138858016,-0.01056690894814636,-0.013508551017826973,-0.014154612590521814,-0.01164515372882069,-0.014511586960812263,-0.012167526735266786,-0.009945214398406092,-0.010845807971981172
5,-0.0020112041457949342,-0.006278443232025595,-0.004706090566071117,-0.0038445699866200625,-0.006673569892452699,-0.005445247225664175,-0.005592320716713648,-0.0029491648662793232,-0.0029624447702838244,-0.0063730633863256225
6,0.0007222864419985514,0.005960198523116203,0.0037626408973132353,0.007246888087933265,0.004824641340381769,0.003529930252858568,0.009113504194745672,0.005919258177030706,0.004449647069120391,0.0019467605021706719
7,-0.0030292714630433815,-0.0027099226597872977,-0.0011700495065175565,-0.003564114062526838,-0.0023077017470756883,-0.00421909881008041,-1.8859460820655483e-05,-0.0003266423652701633,-0.001892448892976295,-0.002659266545309749
8,-0.022441000355770728,-0.02208884660892251,-0.023513876294248105,-0.02407785838438234,-0.022683243905572085,-0.022825143972457825,-0.022279946421882666,-0.02087369873910388,-0.023052616303821234,-0.02303247109486717
