Channel,Iteration 1,Iteration 2,Iteration 3,Iteration 4,Iteration 5,Iteration 6,Iteration 7,Iteration 8,Iteration 9,Iteration 10
1,-0.021562554576467347,-0.020151684675192176,-0.021516545369981044,-0.01820531678846039,-0.01944081005968894,-0.02149279790356771,-0.022073473856620042,-0.020947210058975794,-0.020492382529639717,-0.020564873454504574
2,-0.01945443638796406,-0.020403962888097864,-0.019246307513469153,-0.017782930730971955,-0.017544480885345357,-0.019428644467906334,-0.020120829653179077,-0.02028093637572395,-0.017391868817601155,-0.01855118346249062
3,-0.014727776999355013,-0.01447457779851243,-0.013559048370781649,-0.016726964173151577,-0.013710452856210054,-0.015356130223836728,-0.013945882768345987,-0.01432328568163466,-0.0149984343029925,-0.013891666540741086
4,-0.012669768458736859,-0.010875485569025716,-0.010993508220448507,-0.008262462218550598,-0.012261635125688484,-0.010518335649166743,-0.010314077614594314,-0.011446280783677838,-0.010927275818413523,-0.011412628316737578
5,-0.0014685796455644745,-0.003563326045118956,-0.004580197066068787,-0.001418218525530368,-0.003015254395208486,-0.000568961117284883,-0.003549969823410607,-0.002914468121254017,-0.0033242739457188877,-0.0022221738541612635
6,0.003479486330854785,0.0017056124572665185,0.0014260517125522926,0.0015276991344746402,0.0008215959348867041,0.001351188735895785,-0.0002294279537836605,0.0012192577606917887,-0.0008900301319340956,0.002001090330960034
7,0.002298933765363359,-0.00036094734406239004,0.002167648767001415,0.002949986823779352,0.006048418565058722,0.004413296394742805,0.0016567157553584039,-0.00025171706102181113,0.002750518151262357,0.0010211978684675632
8,-0.023608470769417644,-0.022003387534969214,-0.022222669862770703,-0.023598736943782374,-0.024019437334649035,-0.023878340676794858,-0.023520016393797746,-0.02277750649343767,-0.023352124596959872,-0.022082918558674537
