Channel,Iteration 1,Iteration 2,Iteration 3,Iteration 4,Iteration 5,Iteration 6,Iteration 7,Iteration 8,Iteration 9,Iteration 10,Iteration 11,Iteration 12,Iteration 13,Iteration 14,Iteration 15,Iteration 16,Iteration 17,Iteration 18,Iteration 19,Iteration 20
1,-0.02216599857852291,-0.020671742941035992,-0.019508835443305932,-0.020786636909464185,-0.018944636698402937,-0.021482771096338723,-0.02145620066701728,-0.019731435194488542,-0.021648657958200895,-0.023188448434869217,-0.020543726979079614,-0.02002201215096209,-0.02090453612760323,-0.018927419830487714,-0.02093290893073358,-0.0208555380738713,-0.018691294339656318,-0.01979038052173683,-0.021796480098735062,-0.020172243524785933
2,-0.020743923913724923,-0.018049674221133082,-0.01571188049672568,-0.019856184133139117,-0.018026714795094947,-0.01874766467397572,-0.018422357068362916,-0.018378859849406563,-0.01780161640329565,-0.016919920850008683,-0.018791721236449486,-0.01725521368268679,-0.019232265391105695,-0.01713876004087412,-0.01810217887869913,-0.015825197977456157,-0.018197713246840115,-0.015825217386733863,-0.01622587275569814,-0.018821364229650986
3,-0.013656109391386437,-0.0132800520642442,-0.014561183153650018,-0.01256816548499818,-0.012133796768339783,-0.016405392129331293,-0.015043315230800663,-0.011941437327208234,-0.012804726582244234,-0.01460546082517661,-0.015166378487651861,-0.014710043923184613,-0.012742093057229906,-0.014394071571539867,-0.014202183735648218,-0.01455185835690345,-0.014130703692143254,-0.014198758836789633,-0.014119817154508232,-0.014122881103365546
4,-0.007973221207577031,-0.010069896360741888,-0.007753925345355753,-0.006585526888987895,-0.008443063369717469,-0.009291022605046616,-0.007915958413742846,-0.007965113104333066,-0.006148634802210319,-0.006211624691127911,-0.006312771159944927,-0.008903502458325586,-0.008761050584628245,-0.010156416581181521,-0.006833855252468275,-0.007969385327587064,-0.006489352680932925,-0.01139574392290538,-0.009397189968897941,-0.009332542352095869
5,-0.0010594453799907463,-0.0013335583506927581,-0.0019191189475028028,-0.003252763007783932,-0.0033553655887729253,-0.003717650532668832,-0.0009207537382101352,0.0008638967614601201,-0.002072642990784898,-0.004529818940736494,-0.001293939977407281,-0.0009067925975208765,0.00044919176514580245,-0.002025822479938502,-0.0037825796377290305,-0.003906360896043057,-0.0010335954073520809,-0.0005248046750815777,0.00030161644422247585,-0.00115478171048089
6,0.008055854203230649,0.004824333872477403,0.006378729318556153,0.008111521201808233,0.006578414780805564,0.007901016219189358,0.006100231454716429,0.010795878745189766,0.008295681299300486,0.003967189728363768,0.005457406597344686,0.004748816964762495,0.008045729674414671,0.007789143950437533,0.008828186075000313,0.008784171348249575,0.008533277700527114,0.007146203159368203,0.008151330420736506,0.006553624665039684
7,0.0004416112898079916,0.0032711916254615225,0.003487534892035196,0.003061727595882774,0.0033867903533881805,0.004979680266589334,0.001159199518358675,0.0008221553538992621,0.002445378323234604,0.0026804773847497604,0.0018262193166481838,0.000632269635762156,0.0018128437230686134,0.004792939717609787,0.0011470516477982556,0.0025470566624130747,0.0026001625348242297,0.0031687090201526907,0.003915058229178467,0.0020542245795379804
8,-0.02412277110782861,-0.02511122171224827,-0.022877149558869547,-0.023391337000340243,-0.023387478639428555,-0.02467144798145436,-0.023235604739848842,-0.023030977784391747,-0.024230291169847016,-0.023416408028810502,-0.023632813243432693,-0.0237133348415931,-0.023233545913107466,-0.024900024525645395,-0.02201290143781258,-0.022471255463357646,-0.023621301965509822,-0.024209051684259224,-0.02551460063500273,-0.025609006015197115
